run_name,is_key_run,note,config_path,metrics_path,num_metric_rows,final_step,train_count,eval_count,best_train_number_step,best_train_number_accuracy,best_train_code_step,best_train_code_accuracy,best_eval_number_step,best_eval_number_accuracy,best_eval_code_step,best_eval_code_accuracy,best_eval_loss_step,best_eval_loss,final_train_number_accuracy,final_train_code_accuracy,final_eval_number_accuracy,final_eval_code_accuracy,final_eval_loss
smoke_ce_1step,no,,runs/smoke_ce_1step/config.yaml,runs/smoke_ce_1step/metrics.csv,1,1,69,162,1,0.014492753623188406,1,0.057971014492753624,1,0.04938271604938271,1,0.08641975308641975,1,14125.09846402392,0.014492753623188406,0.057971014492753624,0.04938271604938271,0.08641975308641975,14125.09846402392
smoke_ce_temp1000_1step,no,,runs/smoke_ce_temp1000_1step/config.yaml,runs/smoke_ce_temp1000_1step/metrics.csv,1,1,69,162,1,0.014492753623188406,1,0.057971014492753624,1,0.04938271604938271,1,0.08641975308641975,1,15.511374202775366,0.014492753623188406,0.057971014492753624,0.04938271604938271,0.08641975308641975,15.511374202775366
smoke_fixed_codes_1step,no,,runs/smoke_fixed_codes_1step/config.yaml,runs/smoke_fixed_codes_1step/metrics.csv,1,1,69,162,1,0.014492753623188406,1,0.057971014492753624,1,0.04938271604938271,1,0.08641975308641975,1,27.588368356963734,0.014492753623188406,0.057971014492753624,0.04938271604938271,0.08641975308641975,27.588368356963734
smoke_identity_1step,no,,runs/smoke_identity_1step/config.yaml,runs/smoke_identity_1step/metrics.csv,1,1,69,162,1,0.014492753623188406,1,0.057971014492753624,1,0.04938271604938271,1,0.08641975308641975,1,27.588368356963734,0.014492753623188406,0.057971014492753624,0.04938271604938271,0.08641975308641975,27.588368356963734
smoke_label_free_learned_d2_check,no,,runs/smoke_label_free_learned_d2_check/config.yaml,runs/smoke_label_free_learned_d2_check/metrics.csv,1,1,231,231,1,0.03896103896103896,1,0.06060606060606061,1,0.03896103896103896,1,0.030303030303030304,1,61.30244092404585,0.03896103896103896,0.06060606060606061,0.03896103896103896,0.030303030303030304,61.30244092404585
smoke_label_free_pca_d2_check,no,,runs/smoke_label_free_pca_d2_check/config.yaml,runs/smoke_label_free_pca_d2_check/metrics.csv,1,1,231,231,1,0.025974025974025976,1,0.025974025974025976,1,0.025974025974025976,1,0.025974025974025976,1,8.39932393821287,0.025974025974025976,0.025974025974025976,0.025974025974025976,0.025974025974025976,8.39932393821287
smoke_label_free_vq_ce_check,no,,runs/smoke_label_free_vq_ce_check/config.yaml,runs/smoke_label_free_vq_ce_check/metrics.csv,1,1,231,231,1,0.08225108225108226,1,0.0735930735930736,1,0.08225108225108226,1,0.0735930735930736,1,3.354698942853259,0.08225108225108226,0.0735930735930736,0.08225108225108226,0.0735930735930736,3.354698942853259
smoke_label_free_vq_ce_hard_big_check,no,,runs/smoke_label_free_vq_ce_hard_big_check/config.yaml,runs/smoke_label_free_vq_ce_hard_big_check/metrics.csv,1,1,231,231,1,0.05627705627705628,1,0.06060606060606061,1,0.05627705627705628,1,0.03896103896103896,1,3.42030245504338,0.05627705627705628,0.06060606060606061,0.05627705627705628,0.03896103896103896,3.42030245504338
smoke_pca_d2_1step,no,,runs/smoke_pca_d2_1step/config.yaml,runs/smoke_pca_d2_1step/metrics.csv,1,1,69,162,1,0.028985507246376812,1,0.028985507246376812,1,0.018518518518518517,1,0.018518518518518517,1,8.772122371343919,0.028985507246376812,0.028985507246376812,0.018518518518518517,0.018518518518518517,8.772122371343919
smoke_pca_d4_cpu_svd_1step,no,,runs/smoke_pca_d4_cpu_svd_1step/config.yaml,runs/smoke_pca_d4_cpu_svd_1step/metrics.csv,1,1,69,162,1,0.0,1,0.0,1,0.0,1,0.0,1,8.632905606870297,0.0,0.0,0.0,0.0,8.632905606870297
smoke_projector_d8_1step,no,,runs/smoke_projector_d8_1step/config.yaml,runs/smoke_projector_d8_1step/metrics.csv,1,1,69,162,1,0.014492753623188406,1,0.057971014492753624,1,0.04938271604938271,1,0.08641975308641975,1,62.96347121250482,0.014492753623188406,0.057971014492753624,0.04938271604938271,0.08641975308641975,62.96347121250482
smoke_vis_random_split_check,no,,runs/smoke_vis_random_split_check/config.yaml,runs/smoke_vis_random_split_check/metrics.csv,1,1,69,162,1,0.014492753623188406,1,0.057971014492753624,1,0.04938271604938271,1,0.08641975308641975,1,27.588368356963734,0.014492753623188406,0.057971014492753624,0.04938271604938271,0.08641975308641975,27.588368356963734
uppercase_nosymm_ste_1000_gpu_20260620_diagnose,no,,runs/uppercase_nosymm_ste_1000_gpu_20260620_diagnose/config.yaml,runs/uppercase_nosymm_ste_1000_gpu_20260620_diagnose/metrics.csv,6,1000,69,162,800,0.10144927536231885,800,0.08695652173913043,1,0.04938271604938271,1,0.08641975308641975,200,10.399629863691919,0.043478260869565216,0.043478260869565216,0.037037037037037035,0.030864197530864196,18.129522205870828
uppercase_symm_1000_gpu_20260620_122347,no,,runs/uppercase_symm_1000_gpu_20260620_122347/config.yaml,runs/uppercase_symm_1000_gpu_20260620_122347/metrics.csv,6,1000,69,162,600,0.07246376811594203,1,0.057971014492753624,200,0.05555555555555555,1,0.08641975308641975,200,10.025864436302657,0.028985507246376812,0.057971014492753624,0.018518518518518517,0.024691358024691357,11.508879320121105
uppercase_symm_gradcheck_tmp,no,,runs/uppercase_symm_gradcheck_tmp/config.yaml,runs/uppercase_symm_gradcheck_tmp/metrics.csv,1,1,69,162,1,0.014492753623188406,1,0.057971014492753624,1,0.04938271604938271,1,0.08641975308641975,1,35.529533197850355,0.014492753623188406,0.057971014492753624,0.04938271604938271,0.08641975308641975,35.529533197850355
uppercase_symm_ste_1000_gpu_20260620_ste_fix,no,,runs/uppercase_symm_ste_1000_gpu_20260620_ste_fix/config.yaml,runs/uppercase_symm_ste_1000_gpu_20260620_ste_fix/metrics.csv,6,1000,69,162,200,0.08695652173913043,1,0.057971014492753624,1,0.04938271604938271,1,0.08641975308641975,200,10.254549462118266,0.014492753623188406,0.014492753623188406,0.012345679012345678,0.012345679012345678,20.80660464439863
uppercase_symm_ste_gradcheck_tmp,no,,runs/uppercase_symm_ste_gradcheck_tmp/config.yaml,runs/uppercase_symm_ste_gradcheck_tmp/metrics.csv,1,1,69,162,1,0.014492753623188406,1,0.057971014492753624,1,0.04938271604938271,1,0.08641975308641975,1,27.588368356963734,0.014492753623188406,0.057971014492753624,0.04938271604938271,0.08641975308641975,27.588368356963734
